City-ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,3.29,75,40,6.71,CA,1712523518
1,margaret river,-33.95,115.0667,13.25,76,1,6.82,AU,1712523527
2,papatowai,-46.5619,169.4708,10.11,89,97,1.57,NZ,1712523322
3,kathmandu,27.7167,85.3167,16.12,48,20,1.54,NP,1712523514
4,keflavik,64.0049,-22.5624,0.95,74,75,11.32,IS,1712523184
5,badger,64.8,-147.5333,2.43,61,100,2.06,US,1712523201
6,puerto ayora,-0.7393,-90.3518,29.98,94,57,2.24,EC,1712523285
7,labytnangi,66.6572,66.4183,-11.46,94,39,3.04,RU,1712523562
8,port-aux-francais,-49.35,70.2167,4.67,70,100,3.05,TF,1712523278
9,thompson,55.7435,-97.8558,14.09,23,40,5.14,CA,1712523306
10,jakobstad,63.6749,22.7026,5.09,100,100,0.45,FI,1712523313
11,constantia,44.1833,28.65,9.38,86,6,2.41,RO,1712523265
12,krasnogorskoye,52.2953,86.1979,8.38,92,100,1.71,RU,1712523564
13,tolanaro,-25.0319,46.9987,24.04,94,40,4.12,MG,1712523199
14,saryozek,44.3583,77.9753,7.09,66,21,2.17,KZ,1712523565
15,hermanus,-34.4187,19.2345,17.11,89,100,11.59,ZA,1712523225
16,alofi,-19.0595,-169.9187,27.94,78,40,8.75,NU,1712522988
17,hirara,24.8,125.2833,23.92,100,75,3.6,JP,1712523566
18,pula,44.8683,13.8481,13.31,94,0,1.54,HR,1712523567
19,puerto natales,-51.7236,-72.4875,6.25,81,75,10.8,CL,1712523058
20,bethel,41.3712,-73.414,13.34,45,40,5.14,US,1712523233
21,ulety,51.3572,112.4849,-5.46,44,3,0.54,RU,1712523568
22,alenquer,-1.9417,-54.7383,28.13,75,100,2.1,BR,1712523568
23,puerto baquerizo moreno,-0.9,-89.6,30.55,62,20,3.09,EC,1712523140
24,hawaiian paradise park,19.5933,-154.9731,22.73,94,75,0.45,US,1712523175
25,grytviken,-54.2811,-36.5092,3.43,89,15,8.72,GS,1712523273
26,isla vista,34.4133,-119.861,20.8,50,20,2.57,US,1712523570
27,iguape,-24.7081,-47.5553,24.51,82,80,6.05,BR,1712523571
28,aasiaat,68.7098,-52.8699,-5.75,77,97,0.47,GL,1712523177
29,hamilton,39.1834,-84.5333,18.88,39,0,6.17,US,1712523086
30,khabarovsk vtoroy,48.4431,135.1356,2.73,99,100,16.99,RU,1712523572
31,tura,25.5198,90.2201,24.25,63,98,2.07,IN,1712523410
32,west island,-12.1568,96.8225,27.99,83,40,4.12,CC,1712523176
33,hohhot,40.8106,111.6522,7.16,33,0,4.0,CN,1712523574
34,ushuaia,-54.8,-68.3,3.81,87,100,6.69,AR,1712523081
35,college,64.8569,-147.8028,2.48,58,75,2.06,US,1712523574
36,qaqortoq,60.7167,-46.0333,-2.32,91,100,0.74,GL,1712523311
37,allende,25.2833,-100.0167,32.66,22,93,3.97,MX,1712523575
38,saint-joseph,-21.3667,55.6167,23.21,87,23,2.26,RE,1712523576
39,byron bay,-28.65,153.6167,18.17,72,97,3.01,AU,1712523421
40,puerto aysen,-45.4,-72.7,10.61,77,95,1.91,CL,1712523362
41,newnham,-41.3833,147.1333,10.37,100,100,3.09,AU,1712523577
42,tank,32.2217,70.3793,25.08,22,0,0.83,PK,1712523577
43,xining,36.6167,101.7667,7.4,59,100,1.19,CN,1712523578
44,georgetown,5.4112,100.3354,28.96,78,20,1.54,MY,1712523045
45,tadine,-21.55,167.8833,24.94,79,99,5.23,NC,1712523580
46,waitangi,-43.9535,-176.5597,12.68,82,100,1.79,NZ,1712523175
47,blackmans bay,-43.0167,147.3167,12.07,93,33,2.64,AU,1712523172
48,ji'an,27.1172,114.9793,14.99,94,98,1.43,CN,1712523582
49,bilibino,68.0546,166.4372,-17.07,99,100,0.19,RU,1712523178
50,ust-nera,64.5667,143.2,-16.33,99,88,1.18,RU,1712523208
51,anadyr,64.75,177.4833,-13.72,71,0,3.0,RU,1712523192
52,tiksi,71.6872,128.8694,-12.67,90,100,9.13,RU,1712523388
53,gadzhiyevo,69.2551,33.3362,-5.81,83,100,6.12,RU,1712523584
54,ola,59.5833,151.2833,-6.03,88,100,9.94,RU,1712523585
55,weno,7.4515,151.8468,27.78,79,53,7.49,FM,1712523585
56,adamstown,-25.066,-130.1015,24.26,75,79,3.35,PN,1712523271
57,sitka,57.0531,-135.33,3.94,87,100,4.12,US,1712523553
58,mount isa,-20.7333,139.5,17.87,55,80,3.6,AU,1712523344
59,stanley,54.868,-1.6985,9.88,74,20,6.69,GB,1712523189
60,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,74,75,2.68,RU,1712523587
61,hatillo,18.4863,-66.8254,31.32,75,48,0.89,PR,1712523588
